card,count,proportion
0,10872,0.01056
1,10864,0.010552
10,110447,0.107276
10+,10757,0.010448
11,120944,0.117471
12,131862,0.128076
2,21811,0.021185
2+,10745,0.010436
2x,10964,0.010649
3,32729,0.031789
4,43778,0.042521
4+,10831,0.01052
5,54552,0.052986
6,65910,0.064017
6+,10698,0.010391
7,76816,0.07461
8,87512,0.084999
8+,10777,0.010468
9,98765,0.095929
f3,32405,0.031475
fr,33584,0.03262
sec,31940,0.031023
