total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1159,0.533218,0.0,0.0,0.0,0.0
1,1693,0.603662,6.9344,4.0342,0.0,0.0
2,4528,0.573984,4.7036,7.2817,0.66409,0.0
3,6453,0.555865,4.0854,8.8469,0.804897,0.0
4,7324,0.533725,3.5138,9.4884,0.866466,0.0
5,7084,0.529221,3.3758,10.3055,0.892998,0.0
6,6031,0.521141,3.359,10.9886,0.906981,0.0
7,5874,0.576779,14.4862,26.3881,0.754852,0.174157
8,4200,0.597857,22.324,32.6714,0.660476,0.268333
9,2750,0.634909,28.6425,37.3072,0.598182,0.332727
10,1664,0.659856,32.125,39.6337,0.573918,0.375601
11,766,0.639687,37.2859,43.2006,0.539164,0.4047
12,329,0.650456,38.7994,45.7909,0.547112,0.404255
13,100,0.61,38.05,46.4888,0.57,0.38
14,28,0.821429,61.1429,51.5126,0.357143,0.607143
15,14,0.642857,38.5714,53.8831,0.642857,0.357143
16,2,0.5,64.5,64.5,0.5,0.5
17,1,1.0,135.0,0.0,0.0,1.0
