draw_number_k,attempts,busts,bust_rate
1,196630,0,0.0
2,189977,12619,0.066424
3,171422,21244,0.123928
4,145144,25271,0.17411
5,115831,25335,0.218724
6,85411,20812,0.243669
7,57733,14699,0.254603
8,34358,8755,0.254817
9,18445,4856,0.263269
10,8983,2590,0.288322
11,3759,1130,0.300612
12,1275,385,0.301961
13,418,140,0.334928
14,124,35,0.282258
15,38,10,0.263158
16,11,5,0.454545
17,4,1,0.25
