draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196630,13.6923,2.6287,
2,189977,17.1288,2.5253,3.4365208712977875
3,171422,19.0044,2.6279,1.8755689341537796
4,145144,19.464,3.5802,0.4596540535349867
5,115831,18.6954,5.0295,-0.7686732018714189
6,85411,17.2202,6.4494,-1.475216671734902
7,57733,15.5684,7.6388,-1.6517244045530326
8,34358,14.3269,8.452,-1.241490740528965
9,18445,13.2268,9.0228,-1.1001371082750566
10,8983,12.1537,9.6796,-1.0731287467286634
11,3759,10.9161,10.5604,-1.2375455128070616
12,1275,9.9111,11.575,-1.0049910112672222
13,418,8.9564,12.2333,-0.954692626481366
14,124,7.1905,12.4611,-1.7659156085194923
15,38,3.3805,14.5046,-3.810010159622695
16,11,3.8806,10.5503,0.5000877074376286
17,4,-4.2455,17.0319,-8.126105037518016
