draw_number_k,samples,mean_expected_value,std_expected_value,marginal_gain_vs_prev_k
1,196682,13.6893,2.6304,
2,189976,17.1248,2.5293,3.4355053866946044
3,166679,19.028,2.6581,1.9032139926020122
4,130690,19.6176,3.5842,0.5895785236795206
5,97378,18.9494,5.0374,-0.6682293019152326
6,68497,17.5617,6.3822,-1.3876320307110248
7,43847,16.1942,7.2896,-1.3675593513014341
8,25053,15.2322,7.8215,-0.9620222596975907
9,13052,14.4561,8.3197,-0.7760766106640684
10,5948,13.6829,8.806,-0.773187675954933
11,2372,13.0127,9.243,-0.670166483414798
12,818,12.1253,9.6296,-0.887437045700203
13,232,13.0457,11.4487,0.9203695598064847
14,55,15.5336,10.4668,2.4879088109358047
15,10,16.2599,13.8761,0.7263668240627457
16,4,11.9628,18.2534,-4.297134608177144
