duplicate_number,bust_count,proportion_of_busts
2,431,0.005095
3,1170,0.013831
4,2305,0.027248
5,3564,0.042131
6,5100,0.060288
7,6715,0.079379
8,8817,0.104227
9,10777,0.127397
10,12921,0.152741
11,15068,0.178121
12,17726,0.209542
