draw_number_k,samples,win_rate,mean_running_value,std_running_value,bust_rate_at_k
1,48389,0.449152,13.6856,2.6355,0.0
2,46679,0.451424,17.1132,2.5289,0.065533
3,37481,0.464555,19.069,2.715,0.112831
4,21252,0.481649,20.3713,3.6207,0.125729
5,9945,0.496229,21.1742,4.6625,0.130518
6,4127,0.519263,21.429,5.7942,0.143688
7,1547,0.543633,21.4664,6.7463,0.148675
8,484,0.599174,21.9159,7.6448,0.136364
9,137,0.627737,22.32,7.6166,0.153285
10,38,0.736842,22.3894,8.3311,0.105263
11,15,0.733333,16.8721,9.7285,0.066667
12,4,0.75,28.3363,12.3174,0.5
13,2,0.5,39.0878,4.2905,0.5
14,1,0.0,36.4689,0.0,1.0
