round_length_draws,count,proportion
0,3318,0.01659
1,6706,0.03353
2,23297,0.116485
3,35989,0.179945
4,33312,0.16656
5,28881,0.144405
6,24650,0.12325
7,18794,0.09397
8,12001,0.060005
9,7104,0.03552
10,3576,0.01788
11,1554,0.00777
12,586,0.00293
13,177,0.000885
14,45,0.000225
15,6,3e-05
16,4,2e-05
