card,count,proportion
0,7348,0.010455
1,7245,0.010309
10,75452,0.107357
10+,7417,0.010553
11,82184,0.116936
12,90200,0.128342
2,14906,0.021209
2+,7408,0.010541
2x,7589,0.010798
3,22243,0.031649
4,29813,0.04242
4+,7477,0.010639
5,37276,0.053038
6,44871,0.063845
6+,7368,0.010484
7,51989,0.073973
8,60201,0.085657
8+,7147,0.010169
9,67572,0.096145
f3,22191,0.031575
fr,23038,0.03278
sec,21877,0.031128
