draw_number_k,attempts,busts,bust_rate
1,196682,0,0.0
2,189976,12614,0.066398
3,166679,20184,0.121095
4,130690,21793,0.166753
5,97378,20130,0.20672
6,68497,16090,0.234901
7,43847,10589,0.241499
8,25053,6169,0.246238
9,13052,3408,0.261109
10,5948,1641,0.275891
11,2372,662,0.279089
12,818,229,0.279951
13,232,87,0.375
14,55,22,0.4
15,10,3,0.3
16,4,1,0.25
