player,threshold,games,mean_score,std_score,median_score,win_rate,bust_rate,flip7_rate,avg_draws_per_round,avg_second_chances_used
Bot A,0.45,50000,13.0277,23.4151,0.0,0.28164,0.68552,0.05186,5.2101,0.1021
Bot B,0.45,50000,12.8426,23.2453,0.0,0.27522,0.67614,0.05002,5.1375,0.104
Bot C,0.45,50000,12.7637,23.2406,0.0,0.2763,0.66724,0.04854,5.0763,0.1014
Custom,0.2,50000,18.8637,14.0265,23.0,0.44684,0.24354,0.00086,3.402,0.0266
