total_draws,samples,win_rate,mean_score,std_score,bust_rate,flip7_rate
0,1720,0.376163,0.0,0.0,0.0,0.0
1,1623,0.394331,7.0869,3.9801,0.0,0.0
2,9130,0.410405,13.0334,9.9138,0.337459,0.0
3,16209,0.439262,18.5886,11.4886,0.257203,0.0
4,11503,0.461271,21.8348,13.4131,0.234287,0.0
5,5738,0.486406,24.9644,15.3102,0.216452,0.0
6,2543,0.504915,27.5313,17.5508,0.223358,0.0
7,1016,0.519685,30.2096,19.9894,0.224409,0.018701
8,352,0.539773,33.6761,22.8469,0.227273,0.025568
9,117,0.581197,34.8034,25.819,0.264957,0.042735
10,33,0.69697,41.9394,25.3365,0.212121,0.121212
11,9,0.333333,31.7778,31.0297,0.444444,0.111111
12,5,0.6,44.2,39.061,0.4,0.2
13,2,0.5,37.0,37.0,0.5,0.0
